data_incendi,codi_comarca,comarca,codi_municipi,termemunic,haarbrades,hanoarbrad,hanoforest,haforestal,source_table
2011-02-13T00:00:00.000,21,Maresme,081108,Malgrat de Mar,0,0.002,0,0.002,bks7-dkfd
2011-02-14T00:00:00.000,09,Baix Ebre,431331,Roquetes,0,0.18,0,0.18,bks7-dkfd
2011-02-17T00:00:00.000,08,Baix Camp,430537,Duesaigües,0,0.03,0,0.03,bks7-dkfd
2011-02-18T00:00:00.000,40,Vallès Occidental,081846,Rubí,0.005,0,0,0.005,bks7-dkfd
2011-02-19T00:00:00.000,16,Conca de Barberà,430862,Montblanc,0,0.33,0,0.33,bks7-dkfd
2011-02-20T00:00:00.000,09,Baix Ebre,431554,Tortosa,0,0.025,0,0.025,bks7-dkfd
2011-02-20T00:00:00.000,31,Ripollès,172018,Toses,0.75,0,0,0.75,bks7-dkfd
2011-02-21T00:00:00.000,41,Vallès Oriental,081249,Mollet del Vallès,0.056,0,0,0.056,bks7-dkfd
2011-02-22T00:00:00.000,12,Baix Penedès,431634,"Vendrell, el",0.16,0,0,0.16,bks7-dkfd
2011-02-22T00:00:00.000,22,Montsià,431567,Ulldecona,0.5,22.5,0.3,23,bks7-dkfd
2011-02-22T00:00:00.000,08,Baix Camp,431188,Pratdip,0,1.34,0,1.34,bks7-dkfd
2011-02-23T00:00:00.000,16,Conca de Barberà,430862,Montblanc,0,0.045,0,0.045,bks7-dkfd
2011-02-23T00:00:00.000,11,Baix Llobregat,080898,Gavà,0,0.35,0,0.35,bks7-dkfd
2011-02-23T00:00:00.000,28,Pla de l'Estany,172180,Vilademuls,0,0.006,0,0.006,bks7-dkfd
2011-02-24T00:00:00.000,32,Segarra,250729,Cervera,0,0.46,0,0.46,bks7-dkfd
2011-02-24T00:00:00.000,16,Conca de Barberà,431763,Vimbodí i Poblet,0,0.9,0,0.9,bks7-dkfd
2011-02-25T00:00:00.000,37,Terra Alta,431750,Vilalba dels Arcs,6.2,5,0.7,11.2,bks7-dkfd
2011-02-25T00:00:00.000,06,Anoia,081705,"Prats de Rei, els",0,0.63,0,0.63,bks7-dkfd
2011-02-25T00:00:00.000,07,Bages,080121,Avinyó,0.8,0.34,0,1.14,bks7-dkfd
2011-02-25T00:00:00.000,10,Baix Empordà,171100,Mont-ras,0.03,0,0,0.03,bks7-dkfd
2011-02-25T00:00:00.000,02,Alt Empordà,170887,Lladó,0,0.1,0.05,0.1,bks7-dkfd
2011-02-25T00:00:00.000,07,Bages,080180,Balsareny,0,0.13,0,0.13,bks7-dkfd
2011-02-26T00:00:00.000,16,Conca de Barberà,431476,Solivella,0.06,0.54,0,0.6,bks7-dkfd
2011-02-26T00:00:00.000,07,Bages,080478,Cardona,0,0.12,0,0.12,bks7-dkfd
2011-02-26T00:00:00.000,18,Garrigues,250582,"Borges Blanques, les",0,1,0.6,1,bks7-dkfd
2011-02-26T00:00:00.000,22,Montsià,430770,Mas de Barberans,0,0.27,0,0.27,bks7-dkfd
2011-02-27T00:00:00.000,04,Alt Urgell,251850,Ribera d'Urgellet,0,0.024,0,0.024,bks7-dkfd
2011-02-27T00:00:00.000,10,Baix Empordà,170046,Albons,0,0.1,0,0.1,bks7-dkfd
2011-02-27T00:00:00.000,03,Alt Penedès,082732,Subirats,0,0.073,0,0.073,bks7-dkfd
2011-02-27T00:00:00.000,25,Pallars Jussà,252347,Tremp,6.4,7.7,5.1,14.1,bks7-dkfd
2011-02-28T00:00:00.000,33,Segrià,250077,Albatàrrec,0,0.2,0,0.2,bks7-dkfd
2011-02-28T00:00:00.000,06,Anoia,080214,Bellprat,0,0.35,0,0.35,bks7-dkfd
2011-02-28T00:00:00.000,09,Baix Ebre,439060,"Ampolla, l'",0,0.0015,0,0.0015,bks7-dkfd
2011-03-01T00:00:00.000,15,Cerdanya,251790,Prullans,0.4,0.22,0,0.62,bks7-dkfd
2011-03-01T00:00:00.000,07,Bages,081419,Navàs,0,0.02,0,0.02,bks7-dkfd
2011-03-01T00:00:00.000,33,Segrià,252542,Vilanova de la Barca,0,0.4,0.3,0.4,bks7-dkfd
2011-03-01T00:00:00.000,42,Moianès,080790,"Estany, l'",0.23,0.88,0,1.11,bks7-dkfd
2011-03-01T00:00:00.000,21,Maresme,080095,Argentona,1.03,0,0,1.03,bks7-dkfd
2011-03-02T00:00:00.000,33,Segrià,250138,Alfarràs,0,0.7,0.16,0.7,bks7-dkfd
2011-03-02T00:00:00.000,07,Bages,080983,Sant Salvador de Guardiola,0,0.03,0,0.03,bks7-dkfd
2011-03-02T00:00:00.000,06,Anoia,080636,Castellolí,0,0.11,0,0.11,bks7-dkfd
2011-03-02T00:00:00.000,03,Alt Penedès,081458,Olèrdola,0,0.33,0,0.33,bks7-dkfd
2011-03-02T00:00:00.000,11,Baix Llobregat,081580,"Papiol, el",0,0.075,0,0.075,bks7-dkfd
2011-03-02T00:00:00.000,02,Alt Empordà,170669,Figueres,0,0.8,0,0.8,bks7-dkfd
2011-03-02T00:00:00.000,02,Alt Empordà,170669,Figueres,0.14,0,0,0.14,bks7-dkfd
2011-03-03T00:00:00.000,09,Baix Ebre,439060,"Ampolla, l'",0,1.6,0,1.6,bks7-dkfd
2011-03-04T00:00:00.000,25,Pallars Jussà,251615,Conca de Dalt,0,0.9,0,0.9,bks7-dkfd
2011-03-06T00:00:00.000,20,Gironès,171557,Salt,0,0.001,0,0.001,bks7-dkfd
2011-03-07T00:00:00.000,33,Segrià,252542,Vilanova de la Barca,0,0.05,0,0.05,bks7-dkfd
2011-03-07T00:00:00.000,03,Alt Penedès,082270,Sant Martí Sarroca,0,0.07,0.05,0.07,bks7-dkfd
2011-03-07T00:00:00.000,26,Pallars Sobirà,250390,Baix Pallars,0,0.5,0,0.5,bks7-dkfd
2011-03-07T00:00:00.000,23,Noguera,250220,Alòs de Balaguer,0,2.7,0,2.7,bks7-dkfd
2011-03-08T00:00:00.000,40,Vallès Occidental,081846,Rubí,0,0.06,0,0.06,bks7-dkfd
2011-03-09T00:00:00.000,20,Gironès,171864,Sarrià de Ter,0.16,0,0,0.16,bks7-dkfd
2011-03-09T00:00:00.000,37,Terra Alta,430483,Corbera d'Ebre,0.18,0.28,0,0.46,bks7-dkfd
2011-03-09T00:00:00.000,17,Garraf,081483,Olivella,0,0.001,0,0.001,bks7-dkfd
2011-03-10T00:00:00.000,16,Conca de Barberà,430862,Montblanc,0,1.61,0.3,1.61,bks7-dkfd
2011-03-11T00:00:00.000,33,Segrià,252108,Soses,0,0.4,0,0.4,bks7-dkfd
2011-03-11T00:00:00.000,25,Pallars Jussà,259046,Castell de Mur,0.4,4.3,0.3,4.7,bks7-dkfd
2011-03-11T00:00:00.000,38,Urgell,252173,Tàrrega,0,0.16,0.11,0.16,bks7-dkfd
2011-03-11T00:00:00.000,42,Moianès,082589,Santa Maria d'Oló,0,0.2,1,0.2,bks7-dkfd
2011-03-11T00:00:00.000,33,Segrià,252108,Soses,0,0.3,0,0.3,bks7-dkfd
2011-03-19T00:00:00.000,33,Segrià,252542,Vilanova de la Barca,0,0.09,0,0.09,bks7-dkfd
2011-03-20T00:00:00.000,22,Montsià,430629,Freginals,0,0.5,0,0.5,bks7-dkfd
2011-03-21T00:00:00.000,33,Segrià,251207,Lleida,0,0.15,0,0.15,bks7-dkfd
2011-03-23T00:00:00.000,09,Baix Ebre,431554,Tortosa,0,0.0036,0,0.0036,bks7-dkfd
2011-03-23T00:00:00.000,38,Urgell,252424,Verdú,0,0.23,0,0.23,bks7-dkfd
2011-03-24T00:00:00.000,24,Osona,082541,"Esquirol, l'",0,0.6,0,0.6,bks7-dkfd
2011-03-25T00:00:00.000,41,Vallès Oriental,082093,Sant Fost de Campsentelles,0.0007,0,0,0.0007,bks7-dkfd
2011-03-25T00:00:00.000,25,Pallars Jussà,251155,Isona i Conca Dellà,0,0.7,0,0.7,bks7-dkfd
2011-03-25T00:00:00.000,25,Pallars Jussà,251615,Conca de Dalt,0,0.8,0,0.8,bks7-dkfd
2011-03-29T00:00:00.000,33,Segrià,252542,Vilanova de la Barca,0,0.002,0,0.002,bks7-dkfd
2011-03-31T00:00:00.000,16,Conca de Barberà,431763,Vimbodí i Poblet,0.08,0,0,0.08,bks7-dkfd
2011-04-01T00:00:00.000,38,Urgell,251459,Nalec,0,0.24,0,0.24,bks7-dkfd
2011-04-01T00:00:00.000,16,Conca de Barberà,430614,Forès,0.6,1.1,0,1.7,bks7-dkfd
2011-04-01T00:00:00.000,33,Segrià,251333,Maials,0.2,0.4,0,0.6,bks7-dkfd
2011-04-01T00:00:00.000,36,Tarragonès,430430,"Catllar, el",0,0.13,0,0.13,bks7-dkfd
2011-04-02T00:00:00.000,09,Baix Ebre,431042,"Perelló, el",0,0.005,0,0.005,bks7-dkfd
2011-04-02T00:00:00.000,09,Baix Ebre,431042,"Perelló, el",0,0.002,0,0.002,bks7-dkfd
2011-04-02T00:00:00.000,09,Baix Ebre,431554,Tortosa,0.01,0,0,0.01,bks7-dkfd
2011-04-02T00:00:00.000,09,Baix Ebre,431042,"Perelló, el",0,0.27,0,0.27,bks7-dkfd
2011-04-02T00:00:00.000,09,Baix Ebre,431042,"Perelló, el",0,0.7,0,0.7,bks7-dkfd
2011-04-04T00:00:00.000,08,Baix Camp,430075,"Aleixar, l'",0,0.12,0,0.12,bks7-dkfd
2011-04-05T00:00:00.000,16,Conca de Barberà,430862,Montblanc,0,1.08,0,1.08,bks7-dkfd
2011-04-05T00:00:00.000,37,Terra Alta,431750,Vilalba dels Arcs,0.17,0,0.09,0.17,bks7-dkfd
2011-04-06T00:00:00.000,09,Baix Ebre,431554,Tortosa,0.01,0,0,0.01,bks7-dkfd
2011-04-08T00:00:00.000,33,Segrià,252326,Torres de Segre,0,0.2,0.1,0.2,bks7-dkfd
2011-04-08T00:00:00.000,03,Alt Penedès,082401,Sant Sadurní d'Anoia,0,0.1,0,0.1,bks7-dkfd
2011-04-08T00:00:00.000,10,Baix Empordà,179011,"Cruïlles, Monells i Sant Sadurní de l'Heura",5.75,0,0,5.75,bks7-dkfd
2011-04-09T00:00:00.000,33,Segrià,250117,Alcarràs,0.1,0,0,0.1,bks7-dkfd
2011-04-09T00:00:00.000,09,Baix Ebre,439018,Deltebre,0,0.029,0,0.029,bks7-dkfd
2011-04-09T00:00:00.000,33,Segrià,251312,Massalcoreig,0,0.12,0.1,0.12,bks7-dkfd
2011-04-10T00:00:00.000,19,Garrotxa,171143,Olot,0.003,0,0,0.003,bks7-dkfd
2011-04-11T00:00:00.000,41,Vallès Oriental,080462,Cardedeu,0.056,0,0,0.056,bks7-dkfd
2011-04-11T00:00:00.000,12,Baix Penedès,431634,"Vendrell, el",0,0.004,0,0.004,bks7-dkfd
2011-04-11T00:00:00.000,30,Ribera d'Ebre,431508,Tivissa,0,1,0,1,bks7-dkfd
2011-04-12T00:00:00.000,02,Alt Empordà,171523,Roses,0.006,0,0,0.006,bks7-dkfd
2011-04-12T00:00:00.000,02,Alt Empordà,170118,"Armentera, l'",0.012,0,0,0.012,bks7-dkfd
2011-04-12T00:00:00.000,10,Baix Empordà,172327,Vilopriu,0.01,0,0,0.01,bks7-dkfd
2011-04-13T00:00:00.000,30,Ribera d'Ebre,430939,Móra d'Ebre,0,0.01,0,0.01,bks7-dkfd
2011-04-13T00:00:00.000,02,Alt Empordà,171582,Sant Climent Sescebes,0,3.6,0,3.6,bks7-dkfd
2011-04-13T00:00:00.000,40,Vallès Occidental,082520,Barberà del Vallès,0,0.0015,0,0.0015,bks7-dkfd
2011-04-14T00:00:00.000,33,Segrià,250143,Alfés,0,0.1,0.16,0.1,bks7-dkfd
2011-04-15T00:00:00.000,33,Segrià,252542,Vilanova de la Barca,0,0.15,0,0.15,bks7-dkfd
2011-04-16T00:00:00.000,21,Maresme,082613,Santa Susanna,0,0.08,0,0.08,bks7-dkfd
